nu,gamma,diff1,diif2,diff3
1e-10,1e-10,1.0,1.0,0.0
1e-10,0.0052631579894736845,1.0,1.0,0.0
1e-10,0.01052631587894737,1.0,1.0,0.0
1e-10,0.015789473768421054,1.0,1.0,0.0
1e-10,0.02105263165789474,1.0,1.0,0.0
1e-10,0.026315789547368428,1.0,1.0,0.0
1e-10,0.03157894743684211,1.0,1.0,0.0
1e-10,0.036842105326315794,1.0,1.0,0.0
1e-10,0.04210526321578948,1.0,1.0,0.0
1e-10,0.04736842110526317,1.0,1.0,0.0
1e-10,0.052631578994736854,1.0,1.0,0.0
1e-10,0.05789473688421053,1.0,1.0,0.0
1e-10,0.0631578947736842,1.0,1.0,0.0
1e-10,0.0684210526631579,1.0,1.0,0.0
1e-10,0.07368421055263158,1.0,1.0,0.0
1e-10,0.07894736844210527,1.0,1.0,0.0
1e-10,0.08421052633157895,1.0,1.0,0.0
1e-10,0.08947368422105263,1.0,1.0,0.0
1e-10,0.09473684211052633,1.0,1.0,0.0
1e-10,0.1,1.0,1.0,0.0
0.0052631579894736845,1e-10,1.0,1.0,0.0
0.0052631579894736845,0.0052631579894736845,0.05797101449275366,0.07999999999999996,0.8333333333333334
0.0052631579894736845,0.01052631587894737,0.07971014492753625,0.17333333333333334,0.7424242424242424
0.0052631579894736845,0.015789473768421054,0.1159420289855072,0.18666666666666665,0.7272727272727273
0.0052631579894736845,0.02105263165789474,0.10144927536231885,0.21333333333333337,0.7121212121212122
0.0052631579894736845,0.026315789547368428,0.15217391304347827,0.22666666666666668,0.6666666666666666
0.0052631579894736845,0.03157894743684211,0.14492753623188404,0.2533333333333333,0.5757575757575758
0.0052631579894736845,0.036842105326315794,0.16666666666666663,0.31999999999999995,0.5303030303030303
0.0052631579894736845,0.04210526321578948,0.1811594202898551,0.3733333333333333,0.48484848484848486
0.0052631579894736845,0.04736842110526317,0.19565217391304346,0.3866666666666667,0.3939393939393939
0.0052631579894736845,0.052631578994736854,0.23913043478260865,0.41333333333333333,0.3484848484848485
0.0052631579894736845,0.05789473688421053,0.2753623188405797,0.48,0.3333333333333333
0.0052631579894736845,0.0631578947736842,0.28260869565217395,0.52,0.2878787878787879
0.0052631579894736845,0.0684210526631579,0.2971014492753623,0.6,0.22727272727272727
0.0052631579894736845,0.07368421055263158,0.3188405797101449,0.6266666666666667,0.16666666666666666
0.0052631579894736845,0.07894736844210527,0.3695652173913043,0.6533333333333333,0.13636363636363635
0.0052631579894736845,0.08421052633157895,0.3623188405797102,0.6933333333333334,0.06060606060606061
0.0052631579894736845,0.08947368422105263,0.3623188405797102,0.72,0.030303030303030304
0.0052631579894736845,0.09473684211052633,0.3913043478260869,0.7333333333333334,0.0
0.0052631579894736845,0.1,0.3840579710144928,0.7466666666666666,0.0
0.01052631587894737,1e-10,1.0,1.0,0.0
0.01052631587894737,0.0052631579894736845,0.050724637681159424,0.07999999999999996,0.8333333333333334
0.01052631587894737,0.01052631587894737,0.08695652173913049,0.17333333333333334,0.7424242424242424
0.01052631587894737,0.015789473768421054,0.08695652173913049,0.18666666666666665,0.7272727272727273
0.01052631587894737,0.02105263165789474,0.10144927536231885,0.21333333333333337,0.7121212121212122
0.01052631587894737,0.026315789547368428,0.13043478260869568,0.22666666666666668,0.6666666666666666
0.01052631587894737,0.03157894743684211,0.17391304347826086,0.2533333333333333,0.5757575757575758
0.01052631587894737,0.036842105326315794,0.21014492753623193,0.31999999999999995,0.5303030303030303
0.01052631587894737,0.04210526321578948,0.18840579710144922,0.3733333333333333,0.48484848484848486
0.01052631587894737,0.04736842110526317,0.21014492753623193,0.3866666666666667,0.3939393939393939
0.01052631587894737,0.052631578994736854,0.23913043478260865,0.41333333333333333,0.3484848484848485
0.01052631587894737,0.05789473688421053,0.23913043478260865,0.48,0.3333333333333333
0.01052631587894737,0.0631578947736842,0.26086956521739135,0.52,0.2878787878787879
0.01052631587894737,0.0684210526631579,0.26086956521739135,0.6,0.22727272727272727
0.01052631587894737,0.07368421055263158,0.32608695652173914,0.6266666666666667,0.16666666666666666
0.01052631587894737,0.07894736844210527,0.3695652173913043,0.64,0.13636363636363635
0.01052631587894737,0.08421052633157895,0.4057971014492754,0.6799999999999999,0.06060606060606061
0.01052631587894737,0.08947368422105263,0.4057971014492754,0.72,0.015151515151515152
0.01052631587894737,0.09473684211052633,0.35507246376811596,0.72,0.0
0.01052631587894737,0.1,0.35507246376811596,0.76,0.0
0.015789473768421054,1e-10,1.0,1.0,0.0
0.015789473768421054,0.0052631579894736845,0.036231884057971064,0.07999999999999996,0.8333333333333334
0.015789473768421054,0.01052631587894737,0.07246376811594202,0.17333333333333334,0.7424242424242424
0.015789473768421054,0.015789473768421054,0.1159420289855072,0.18666666666666665,0.7272727272727273
0.015789473768421054,0.02105263165789474,0.1159420289855072,0.21333333333333337,0.7121212121212122
0.015789473768421054,0.026315789547368428,0.1376811594202898,0.22666666666666668,0.6666666666666666
0.015789473768421054,0.03157894743684211,0.17391304347826086,0.2533333333333333,0.5757575757575758
0.015789473768421054,0.036842105326315794,0.15217391304347827,0.31999999999999995,0.5303030303030303
0.015789473768421054,0.04210526321578948,0.1594202898550725,0.3733333333333333,0.48484848484848486
0.015789473768421054,0.04736842110526317,0.18840579710144922,0.3866666666666667,0.3939393939393939
0.015789473768421054,0.052631578994736854,0.23188405797101452,0.41333333333333333,0.3484848484848485
0.015789473768421054,0.05789473688421053,0.26086956521739135,0.48,0.3333333333333333
0.015789473768421054,0.0631578947736842,0.2753623188405797,0.52,0.2878787878787879
0.015789473768421054,0.0684210526631579,0.2753623188405797,0.6,0.22727272727272727
0.015789473768421054,0.07368421055263158,0.30434782608695654,0.6266666666666667,0.16666666666666666
0.015789473768421054,0.07894736844210527,0.3840579710144928,0.64,0.13636363636363635
0.015789473768421054,0.08421052633157895,0.34782608695652173,0.6799999999999999,0.06060606060606061
0.015789473768421054,0.08947368422105263,0.44202898550724634,0.72,0.030303030303030304
0.015789473768421054,0.09473684211052633,0.39855072463768115,0.72,0.0
0.015789473768421054,0.1,0.3695652173913043,0.7466666666666666,0.0
0.02105263165789474,1e-10,1.0,1.0,0.0
0.02105263165789474,0.0052631579894736845,0.04347826086956519,0.07999999999999996,0.8333333333333334
0.02105263165789474,0.01052631587894737,0.07971014492753625,0.17333333333333334,0.7424242424242424
0.02105263165789474,0.015789473768421054,0.10869565217391308,0.18666666666666665,0.7272727272727273
0.02105263165789474,0.02105263165789474,0.10144927536231885,0.21333333333333337,0.7121212121212122
0.02105263165789474,0.026315789547368428,0.12318840579710144,0.22666666666666668,0.6666666666666666
0.02105263165789474,0.03157894743684211,0.17391304347826086,0.2533333333333333,0.5757575757575758
0.02105263165789474,0.036842105326315794,0.16666666666666663,0.31999999999999995,0.5303030303030303
0.02105263165789474,0.04210526321578948,0.1594202898550725,0.3733333333333333,0.48484848484848486
0.02105263165789474,0.04736842110526317,0.19565217391304346,0.3866666666666667,0.3939393939393939
0.02105263165789474,0.052631578994736854,0.23188405797101452,0.41333333333333333,0.3484848484848485
0.02105263165789474,0.05789473688421053,0.24637681159420288,0.48,0.3333333333333333
0.02105263165789474,0.0631578947736842,0.2681159420289855,0.52,0.2878787878787879
0.02105263165789474,0.0684210526631579,0.2753623188405797,0.6,0.22727272727272727
0.02105263165789474,0.07368421055263158,0.30434782608695654,0.6266666666666667,0.16666666666666666
0.02105263165789474,0.07894736844210527,0.33333333333333337,0.64,0.13636363636363635
0.02105263165789474,0.08421052633157895,0.39855072463768115,0.6799999999999999,0.06060606060606061
0.02105263165789474,0.08947368422105263,0.39855072463768115,0.72,0.015151515151515152
0.02105263165789474,0.09473684211052633,0.4347826086956522,0.72,0.0
0.02105263165789474,0.1,0.33333333333333337,0.76,0.0
0.026315789547368428,1e-10,1.0,1.0,0.0
0.026315789547368428,0.0052631579894736845,0.06521739130434778,0.07999999999999996,0.8333333333333334
0.026315789547368428,0.01052631587894737,0.07971014492753625,0.17333333333333334,0.7424242424242424
0.026315789547368428,0.015789473768421054,0.09420289855072461,0.18666666666666665,0.7272727272727273
0.026315789547368428,0.02105263165789474,0.08695652173913049,0.21333333333333337,0.7121212121212122
0.026315789547368428,0.026315789547368428,0.1376811594202898,0.22666666666666668,0.6666666666666666
0.026315789547368428,0.03157894743684211,0.15217391304347827,0.2533333333333333,0.5757575757575758
0.026315789547368428,0.036842105326315794,0.18840579710144922,0.31999999999999995,0.5303030303030303
0.026315789547368428,0.04210526321578948,0.17391304347826086,0.3733333333333333,0.48484848484848486
0.026315789547368428,0.04736842110526317,0.17391304347826086,0.3866666666666667,0.3939393939393939
0.026315789547368428,0.052631578994736854,0.23188405797101452,0.41333333333333333,0.3484848484848485
0.026315789547368428,0.05789473688421053,0.2681159420289855,0.48,0.3333333333333333
0.026315789547368428,0.0631578947736842,0.30434782608695654,0.52,0.2878787878787879
0.026315789547368428,0.0684210526631579,0.2753623188405797,0.6,0.22727272727272727
0.026315789547368428,0.07368421055263158,0.34782608695652173,0.6266666666666667,0.16666666666666666
0.026315789547368428,0.07894736844210527,0.30434782608695654,0.64,0.13636363636363635
0.026315789547368428,0.08421052633157895,0.33333333333333337,0.6799999999999999,0.06060606060606061
0.026315789547368428,0.08947368422105263,0.3623188405797102,0.72,0.015151515151515152
0.026315789547368428,0.09473684211052633,0.3695652173913043,0.72,0.0
0.026315789547368428,0.1,0.42028985507246375,0.7466666666666666,0.0
0.03157894743684211,1e-10,1.0,1.0,0.0
0.03157894743684211,0.0052631579894736845,0.04347826086956519,0.07999999999999996,0.8181818181818182
0.03157894743684211,0.01052631587894737,0.07246376811594202,0.17333333333333334,0.7424242424242424
0.03157894743684211,0.015789473768421054,0.1159420289855072,0.18666666666666665,0.7272727272727273
0.03157894743684211,0.02105263165789474,0.12318840579710144,0.21333333333333337,0.7121212121212122
0.03157894743684211,0.026315789547368428,0.1159420289855072,0.22666666666666668,0.6666666666666666
0.03157894743684211,0.03157894743684211,0.13043478260869568,0.2533333333333333,0.5757575757575758
0.03157894743684211,0.036842105326315794,0.15217391304347827,0.31999999999999995,0.5303030303030303
0.03157894743684211,0.04210526321578948,0.21014492753623193,0.3733333333333333,0.48484848484848486
0.03157894743684211,0.04736842110526317,0.21014492753623193,0.3866666666666667,0.3939393939393939
0.03157894743684211,0.052631578994736854,0.23188405797101452,0.41333333333333333,0.3484848484848485
0.03157894743684211,0.05789473688421053,0.2536231884057971,0.48,0.3333333333333333
0.03157894743684211,0.0631578947736842,0.26086956521739135,0.52,0.2878787878787879
0.03157894743684211,0.0684210526631579,0.2536231884057971,0.6,0.22727272727272727
0.03157894743684211,0.07368421055263158,0.34782608695652173,0.6266666666666667,0.16666666666666666
0.03157894743684211,0.07894736844210527,0.35507246376811596,0.64,0.13636363636363635
0.03157894743684211,0.08421052633157895,0.3695652173913043,0.6799999999999999,0.06060606060606061
0.03157894743684211,0.08947368422105263,0.4130434782608695,0.72,0.030303030303030304
0.03157894743684211,0.09473684211052633,0.37681159420289856,0.72,0.0
0.03157894743684211,0.1,0.34782608695652173,0.7466666666666666,0.0
0.036842105326315794,1e-10,1.0,1.0,0.0
0.036842105326315794,0.0052631579894736845,0.050724637681159424,0.07999999999999996,0.8181818181818182
0.036842105326315794,0.01052631587894737,0.07246376811594202,0.16000000000000003,0.7424242424242424
0.036842105326315794,0.015789473768421054,0.09420289855072461,0.18666666666666665,0.7272727272727273
0.036842105326315794,0.02105263165789474,0.08695652173913049,0.21333333333333337,0.7121212121212122
0.036842105326315794,0.026315789547368428,0.13043478260869568,0.22666666666666668,0.6666666666666666
0.036842105326315794,0.03157894743684211,0.1376811594202898,0.2533333333333333,0.5757575757575758
0.036842105326315794,0.036842105326315794,0.16666666666666663,0.31999999999999995,0.5303030303030303
0.036842105326315794,0.04210526321578948,0.1811594202898551,0.3733333333333333,0.48484848484848486
0.036842105326315794,0.04736842110526317,0.2028985507246377,0.3866666666666667,0.3939393939393939
0.036842105326315794,0.052631578994736854,0.23188405797101452,0.41333333333333333,0.3484848484848485
0.036842105326315794,0.05789473688421053,0.2753623188405797,0.48,0.3333333333333333
0.036842105326315794,0.0631578947736842,0.23188405797101452,0.52,0.2878787878787879
0.036842105326315794,0.0684210526631579,0.26086956521739135,0.6,0.22727272727272727
0.036842105326315794,0.07368421055263158,0.34782608695652173,0.6266666666666667,0.16666666666666666
0.036842105326315794,0.07894736844210527,0.3405797101449275,0.64,0.13636363636363635
0.036842105326315794,0.08421052633157895,0.42028985507246375,0.6799999999999999,0.06060606060606061
0.036842105326315794,0.08947368422105263,0.3913043478260869,0.72,0.015151515151515152
0.036842105326315794,0.09473684211052633,0.3840579710144928,0.72,0.0
0.036842105326315794,0.1,0.4130434782608695,0.7466666666666666,0.0
0.04210526321578948,1e-10,1.0,1.0,0.0
0.04210526321578948,0.0052631579894736845,0.05797101449275366,0.09333333333333338,0.803030303030303
0.04210526321578948,0.01052631587894737,0.05797101449275366,0.16000000000000003,0.7424242424242424
0.04210526321578948,0.015789473768421054,0.10144927536231885,0.18666666666666665,0.7272727272727273
0.04210526321578948,0.02105263165789474,0.10869565217391308,0.21333333333333337,0.7121212121212122
0.04210526321578948,0.026315789547368428,0.13043478260869568,0.22666666666666668,0.6666666666666666
0.04210526321578948,0.03157894743684211,0.15217391304347827,0.2533333333333333,0.5757575757575758
0.04210526321578948,0.036842105326315794,0.19565217391304346,0.31999999999999995,0.5303030303030303
0.04210526321578948,0.04210526321578948,0.16666666666666663,0.3733333333333333,0.48484848484848486
0.04210526321578948,0.04736842110526317,0.16666666666666663,0.3866666666666667,0.3939393939393939
0.04210526321578948,0.052631578994736854,0.2028985507246377,0.41333333333333333,0.3484848484848485
0.04210526321578948,0.05789473688421053,0.28985507246376807,0.48,0.3333333333333333
0.04210526321578948,0.0631578947736842,0.23188405797101452,0.52,0.2878787878787879
0.04210526321578948,0.0684210526631579,0.26086956521739135,0.6,0.22727272727272727
0.04210526321578948,0.07368421055263158,0.3115942028985508,0.6266666666666667,0.16666666666666666
0.04210526321578948,0.07894736844210527,0.32608695652173914,0.64,0.13636363636363635
0.04210526321578948,0.08421052633157895,0.35507246376811596,0.6799999999999999,0.06060606060606061
0.04210526321578948,0.08947368422105263,0.42028985507246375,0.72,0.015151515151515152
0.04210526321578948,0.09473684211052633,0.4492753623188406,0.72,0.0
0.04210526321578948,0.1,0.35507246376811596,0.7466666666666666,0.0
0.04736842110526317,1e-10,1.0,1.0,0.0
0.04736842110526317,0.0052631579894736845,0.050724637681159424,0.09333333333333338,0.7727272727272727
0.04736842110526317,0.01052631587894737,0.08695652173913049,0.18666666666666665,0.7424242424242424
0.04736842110526317,0.015789473768421054,0.09420289855072461,0.18666666666666665,0.7272727272727273
0.04736842110526317,0.02105263165789474,0.12318840579710144,0.21333333333333337,0.7121212121212122
0.04736842110526317,0.026315789547368428,0.13043478260869568,0.22666666666666668,0.6666666666666666
0.04736842110526317,0.03157894743684211,0.1594202898550725,0.2533333333333333,0.5757575757575758
0.04736842110526317,0.036842105326315794,0.17391304347826086,0.31999999999999995,0.5303030303030303
0.04736842110526317,0.04210526321578948,0.1811594202898551,0.3733333333333333,0.48484848484848486
0.04736842110526317,0.04736842110526317,0.2246376811594203,0.3866666666666667,0.3939393939393939
0.04736842110526317,0.052631578994736854,0.21739130434782605,0.41333333333333333,0.3484848484848485
0.04736842110526317,0.05789473688421053,0.23188405797101452,0.48,0.3333333333333333
0.04736842110526317,0.0631578947736842,0.23913043478260865,0.52,0.2878787878787879
0.04736842110526317,0.0684210526631579,0.2753623188405797,0.6,0.22727272727272727
0.04736842110526317,0.07368421055263158,0.32608695652173914,0.6266666666666667,0.16666666666666666
0.04736842110526317,0.07894736844210527,0.3115942028985508,0.64,0.13636363636363635
0.04736842110526317,0.08421052633157895,0.37681159420289856,0.6799999999999999,0.06060606060606061
0.04736842110526317,0.08947368422105263,0.34782608695652173,0.72,0.015151515151515152
0.04736842110526317,0.09473684211052633,0.3913043478260869,0.72,0.0
0.04736842110526317,0.1,0.35507246376811596,0.7466666666666666,0.0
0.052631578994736854,1e-10,1.0,1.0,0.0
0.052631578994736854,0.0052631579894736845,0.07246376811594202,0.10666666666666669,0.7727272727272727
